id,symbol,type,entry_time,entry_price,sl,tp,volume,exit_price,exit_time,pnl_pips,comment
16,EURUSD,SELL,2023-02-10 13:00:00,1.06986,1.0,1.0,0.01,1.0,2023-02-10 14:00:00,6986.000000000003,SL/TP hit
17,EURUSD,BUY,2023-02-14 03:00:00,1.07287,1.0,1.0,0.01,1.0,2023-02-14 04:00:00,-7286.999999999998,SL/TP hit
18,EURUSD,SELL,2023-02-15 14:00:00,1.06977,1.0,1.0,0.01,1.0,2023-02-15 15:00:00,6977.00000000001,SL/TP hit
19,EURUSD,BUY,2023-02-20 10:00:00,1.0693,1.0,1.0,0.01,1.0,2023-02-20 11:00:00,-6929.999999999991,SL/TP hit
20,EURUSD,SELL,2023-02-21 14:00:00,1.066,1.0,1.0,0.01,1.0,2023-02-21 15:00:00,6600.0000000000055,SL/TP hit
21,EURUSD,BUY,2023-02-28 01:00:00,1.06096,1.0,1.0,0.01,1.0,2023-02-28 02:00:00,-6095.99999999999,SL/TP hit
22,EURUSD,SELL,2023-03-02 22:00:00,1.06003,1.0,1.0,0.01,1.0,2023-03-02 23:00:00,6003.000000000003,SL/TP hit
23,EURUSD,BUY,2023-03-06 03:00:00,1.06364,1.0,1.0,0.01,1.0,2023-03-06 04:00:00,-6363.999999999992,SL/TP hit
24,EURUSD,SELL,2023-03-07 22:00:00,1.05508,1.0,1.0,0.01,1.0,2023-03-07 23:00:00,5508.000000000001,SL/TP hit
25,EURUSD,BUY,2023-03-09 18:00:00,1.05758,1.0,1.0,0.01,1.0,2023-03-09 19:00:00,-5757.999999999996,SL/TP hit
26,EURUSD,SELL,2023-03-15 15:00:00,1.05452,1.0,1.0,0.01,1.0,2023-03-15 16:00:00,5451.99999999999,SL/TP hit
27,EURUSD,BUY,2023-03-17 08:00:00,1.06628,1.0,1.0,0.01,1.0,2023-03-17 09:00:00,-6627.999999999989,SL/TP hit
28,EURUSD,SELL,2023-03-24 11:00:00,1.07258,1.0,1.0,0.01,1.0,2023-03-24 12:00:00,7258.000000000008,SL/TP hit
29,EURUSD,BUY,2023-03-28 04:00:00,1.0815,1.0,1.0,0.01,1.0,2023-03-28 05:00:00,-8149.99999999999,SL/TP hit
30,EURUSD,SELL,2023-04-03 02:00:00,1.08023,1.0,1.0,0.01,1.0,2023-04-03 03:00:00,8023.000000000002,SL/TP hit
31,EURUSD,BUY,2023-04-04 04:00:00,1.08932,1.0,1.0,0.01,1.0,2023-04-04 05:00:00,-8932.000000000005,SL/TP hit
32,EURUSD,SELL,2023-04-06 04:00:00,1.08922,1.0,1.0,0.01,1.0,2023-04-06 05:00:00,8922.000000000007,SL/TP hit
33,EURUSD,BUY,2023-04-07 10:00:00,1.09155,1.0,1.0,0.01,1.0,2023-04-07 11:00:00,-9155.000000000002,SL/TP hit
34,EURUSD,SELL,2023-04-10 05:00:00,1.08985,1.0,1.0,0.01,1.0,2023-04-10 06:00:00,8984.999999999998,SL/TP hit
35,EURUSD,BUY,2023-04-11 20:00:00,1.09105,1.0,1.0,0.01,1.0,2023-04-11 21:00:00,-9105.000000000007,SL/TP hit
36,EURUSD,SELL,2023-04-17 03:00:00,1.09727,1.0,1.0,0.01,1.0,2023-04-17 04:00:00,9726.999999999996,SL/TP hit
37,EURUSD,BUY,2023-04-19 01:00:00,1.0973600000000001,1.0,1.0,0.01,1.0,2023-04-19 02:00:00,-9736.000000000011,SL/TP hit
38,EURUSD,SELL,2023-04-20 02:00:00,1.09516,1.0,1.0,0.01,1.0,2023-04-20 03:00:00,9515.99999999999,SL/TP hit
39,EURUSD,BUY,2023-04-20 19:00:00,1.09673,1.0,1.0,0.01,1.0,2023-04-20 20:00:00,-9672.999999999998,SL/TP hit
40,EURUSD,SELL,2023-04-26 01:00:00,1.09782,1.0,1.0,0.01,1.0,2023-04-26 02:00:00,9782.000000000002,SL/TP hit
41,EURUSD,BUY,2023-04-26 23:00:00,1.10416,1.0,1.0,0.01,1.0,2023-04-27 00:00:00,-10416.000000000002,SL/TP hit
42,EURUSD,SELL,2023-04-28 06:00:00,1.10193,1.0,1.0,0.01,1.0,2023-04-28 07:00:00,10193.000000000007,SL/TP hit
43,EURUSD,BUY,2023-05-03 07:00:00,1.10218,1.0,1.0,0.01,1.0,2023-05-03 08:00:00,-10217.999999999993,SL/TP hit
44,EURUSD,SELL,2023-05-05 03:00:00,1.1025,1.0,1.0,0.01,1.0,2023-05-05 04:00:00,10250.000000000002,SL/TP hit
45,EURUSD,BUY,2023-05-08 13:00:00,1.1048,1.0,1.0,0.01,1.0,2023-05-08 14:00:00,-10480.0,SL/TP hit
46,EURUSD,SELL,2023-05-09 04:00:00,1.09876,1.0,1.0,0.01,1.0,2023-05-09 05:00:00,9875.999999999995,SL/TP hit
47,EURUSD,BUY,2023-05-11 04:00:00,1.09845,1.0,1.0,0.01,1.0,2023-05-11 05:00:00,-9844.999999999993,SL/TP hit
48,EURUSD,SELL,2023-05-11 15:00:00,1.09329,1.0,1.0,0.01,1.0,2023-05-11 16:00:00,9329.00000000001,SL/TP hit
49,EURUSD,BUY,2023-05-16 09:00:00,1.08764,1.0,1.0,0.01,1.0,2023-05-16 10:00:00,-8763.999999999993,SL/TP hit
50,EURUSD,SELL,2023-05-17 07:00:00,1.08648,1.0,1.0,0.01,1.0,2023-05-17 08:00:00,8647.999999999989,SL/TP hit
51,EURUSD,BUY,2023-05-22 04:00:00,1.08255,1.0,1.0,0.01,1.0,2023-05-22 05:00:00,-8254.999999999989,SL/TP hit
52,EURUSD,SELL,2023-05-23 12:00:00,1.07814,1.0,1.0,0.01,1.0,2023-05-23 13:00:00,7814.000000000009,SL/TP hit
53,EURUSD,BUY,2023-05-29 09:00:00,1.07366,1.0,1.0,0.01,1.0,2023-05-29 10:00:00,-7366.0000000000055,SL/TP hit
54,EURUSD,SELL,2023-05-29 11:00:00,1.07241,1.0,1.0,0.01,1.0,2023-05-29 12:00:00,7241.000000000008,SL/TP hit
55,EURUSD,BUY,2023-05-31 02:00:00,1.07315,1.0,1.0,0.01,1.0,2023-05-31 03:00:00,-7315.000000000005,SL/TP hit
56,EURUSD,SELL,2023-05-31 13:00:00,1.06764,1.0,1.0,0.01,1.0,2023-05-31 14:00:00,6763.999999999992,SL/TP hit
57,EURUSD,BUY,2023-06-01 20:00:00,1.07642,1.0,1.0,0.01,1.0,2023-06-01 21:00:00,-7641.999999999993,SL/TP hit
58,EURUSD,SELL,2023-06-05 06:00:00,1.07026,1.0,1.0,0.01,1.0,2023-06-05 07:00:00,7025.999999999998,SL/TP hit
59,EURUSD,BUY,2023-06-06 14:00:00,1.0677,1.0,1.0,0.01,1.0,2023-06-06 15:00:00,-6770.000000000009,SL/TP hit
60,EURUSD,SELL,2023-06-06 22:00:00,1.0692,1.0,1.0,0.01,1.0,2023-06-06 23:00:00,6919.999999999992,SL/TP hit
61,EURUSD,BUY,2023-06-08 03:00:00,1.07085,1.0,1.0,0.01,1.0,2023-06-08 04:00:00,-7085.000000000007,SL/TP hit
62,EURUSD,SELL,2023-06-12 07:00:00,1.0741,1.0,1.0,0.01,1.0,2023-06-12 08:00:00,7410.000000000005,SL/TP hit
63,EURUSD,BUY,2023-06-13 05:00:00,1.07743,1.0,1.0,0.01,1.0,2023-06-13 06:00:00,-7743.00000000001,SL/TP hit
64,EURUSD,SELL,2023-06-19 16:00:00,1.09183,1.0,1.0,0.01,1.0,2023-06-19 17:00:00,9183.000000000007,SL/TP hit
65,EURUSD,BUY,2023-06-21 19:00:00,1.09707,1.0,1.0,0.01,1.0,2023-06-21 20:00:00,-9706.999999999998,SL/TP hit
66,EURUSD,SELL,2023-06-23 09:00:00,1.09232,1.0,1.0,0.01,1.0,2023-06-23 10:00:00,9231.999999999995,SL/TP hit
67,EURUSD,BUY,2023-06-27 02:00:00,1.09098,1.0,1.0,0.01,1.0,2023-06-27 03:00:00,-9098.000000000005,SL/TP hit
68,EURUSD,SELL,2023-06-28 23:00:00,1.09124,1.0,1.0,0.01,1.0,2023-06-29 00:00:00,9123.999999999998,SL/TP hit
69,EURUSD,BUY,2023-07-03 04:00:00,1.09086,1.0,1.0,0.01,1.0,2023-07-03 05:00:00,-9085.999999999993,SL/TP hit
70,EURUSD,SELL,2023-07-04 17:00:00,1.09019,1.0,1.0,0.01,1.0,2023-07-04 18:00:00,9018.999999999998,SL/TP hit
71,EURUSD,BUY,2023-07-07 03:00:00,1.08853,1.0,1.0,0.01,1.0,2023-07-07 04:00:00,-8852.999999999998,SL/TP hit
72,EURUSD,SELL,2023-07-19 05:00:00,1.1221700000000001,1.0,1.0,0.01,1.0,2023-07-19 06:00:00,12217.000000000011,SL/TP hit
73,EURUSD,BUY,2023-07-26 21:00:00,1.11037,1.0,1.0,0.01,1.0,2023-07-26 22:00:00,-11037.000000000007,SL/TP hit
74,EURUSD,SELL,2023-07-28 00:00:00,1.09767,1.0,1.0,0.01,1.0,2023-07-28 01:00:00,9766.99999999999,SL/TP hit
75,EURUSD,BUY,2023-07-31 10:00:00,1.10196,1.0,1.0,0.01,1.0,2023-07-31 11:00:00,-10196.000000000004,SL/TP hit
76,EURUSD,SELL,2023-08-01 09:00:00,1.09948,1.0,1.0,0.01,1.0,2023-08-01 10:00:00,9948.0,SL/TP hit
77,EURUSD,BUY,2023-08-04 12:00:00,1.09448,1.0,1.0,0.01,1.0,2023-08-04 13:00:00,-9447.999999999989,SL/TP hit
78,EURUSD,SELL,2023-08-08 14:00:00,1.09414,1.0,1.0,0.01,1.0,2023-08-08 15:00:00,9413.999999999989,SL/TP hit
79,EURUSD,BUY,2023-08-10 00:00:00,1.09751,1.0,1.0,0.01,1.0,2023-08-10 01:00:00,-9750.999999999998,SL/TP hit
80,EURUSD,SELL,2023-08-11 15:00:00,1.09683,1.0,1.0,0.01,1.0,2023-08-11 16:00:00,9682.999999999996,SL/TP hit
81,EURUSD,BUY,2023-08-21 13:00:00,1.0899,1.0,1.0,0.01,1.0,2023-08-21 14:00:00,-8990.00000000001,SL/TP hit
82,EURUSD,SELL,2023-08-22 23:00:00,1.08452,1.0,1.0,0.01,1.0,2023-08-23 00:00:00,8451.999999999993,SL/TP hit
83,EURUSD,BUY,2023-08-24 12:00:00,1.08484,1.0,1.0,0.01,1.0,2023-08-24 13:00:00,-8484.000000000002,SL/TP hit
84,EURUSD,SELL,2023-08-25 00:00:00,1.08117,1.0,1.0,0.01,1.0,2023-08-25 01:00:00,8116.999999999995,SL/TP hit
85,EURUSD,BUY,2023-08-28 16:00:00,1.08072,1.0,1.0,0.01,1.0,2023-08-28 17:00:00,-8071.99999999999,SL/TP hit
86,EURUSD,SELL,2023-08-31 22:00:00,1.08437,1.0,1.0,0.01,1.0,2023-08-31 23:00:00,8437.000000000005,SL/TP hit
87,EURUSD,BUY,2023-09-11 05:00:00,1.07236,1.0,1.0,0.01,1.0,2023-09-11 06:00:00,-7235.999999999997,SL/TP hit
88,EURUSD,SELL,2023-09-12 23:00:00,1.07529,1.0,1.0,0.01,1.0,2023-09-13 00:00:00,7529.000000000007,SL/TP hit
89,EURUSD,BUY,2023-09-13 11:00:00,1.07352,1.0,1.0,0.01,1.0,2023-09-13 12:00:00,-7352.000000000003,SL/TP hit
90,EURUSD,SELL,2023-09-14 15:00:00,1.06767,1.0,1.0,0.01,1.0,2023-09-14 16:00:00,6766.999999999989,SL/TP hit
91,EURUSD,BUY,2023-09-18 13:00:00,1.06679,1.0,1.0,0.01,1.0,2023-09-18 14:00:00,-6678.99999999999,SL/TP hit
92,EURUSD,SELL,2023-09-21 06:00:00,1.06366,1.0,1.0,0.01,1.0,2023-09-21 07:00:00,6366.000000000005,SL/TP hit
93,EURUSD,BUY,2023-09-29 02:00:00,1.05622,1.0,1.0,0.01,1.0,2023-09-29 03:00:00,-5621.999999999994,SL/TP hit
94,EURUSD,SELL,2023-10-02 14:00:00,1.05314,1.0,1.0,0.01,1.0,2023-10-02 15:00:00,5313.999999999996,SL/TP hit
95,EURUSD,BUY,2023-10-04 18:00:00,1.05178,1.0,1.0,0.01,1.0,2023-10-04 19:00:00,-5177.999999999994,SL/TP hit
96,EURUSD,SELL,2023-10-09 20:00:00,1.05631,1.0,1.0,0.01,1.0,2023-10-09 21:00:00,5631.000000000008,SL/TP hit
97,EURUSD,BUY,2023-10-10 08:00:00,1.05616,1.0,1.0,0.01,1.0,2023-10-10 09:00:00,-5615.999999999998,SL/TP hit
98,EURUSD,SELL,2023-10-12 21:00:00,1.05267,1.0,1.0,0.01,1.0,2023-10-12 22:00:00,5266.999999999999,SL/TP hit
99,EURUSD,BUY,2023-10-16 21:00:00,1.0554,1.0,1.0,0.01,1.0,2023-10-16 22:00:00,-5539.999999999989,SL/TP hit
100,EURUSD,SELL,2023-10-19 00:00:00,1.0536,1.0,1.0,0.01,1.0,2023-10-19 01:00:00,5360.000000000009,SL/TP hit
101,EURUSD,BUY,2023-10-20 01:00:00,1.05805,1.0,1.0,0.01,1.0,2023-10-20 02:00:00,-5804.999999999993,SL/TP hit
102,EURUSD,SELL,2023-10-25 03:00:00,1.05924,1.0,1.0,0.01,1.0,2023-10-25 04:00:00,5923.999999999995,SL/TP hit
103,EURUSD,BUY,2023-10-27 16:00:00,1.05799,1.0,1.0,0.01,1.0,2023-10-27 17:00:00,-5798.999999999998,SL/TP hit
104,EURUSD,SELL,2023-11-01 07:00:00,1.05678,1.0,1.0,0.01,1.0,2023-11-01 08:00:00,5678.000000000005,SL/TP hit
105,EURUSD,BUY,2023-11-02 13:00:00,1.06337,1.0,1.0,0.01,1.0,2023-11-02 14:00:00,-6336.999999999992,SL/TP hit
106,EURUSD,SELL,2023-11-07 13:00:00,1.06737,1.0,1.0,0.01,1.0,2023-11-07 14:00:00,6736.999999999993,SL/TP hit
107,EURUSD,BUY,2023-11-09 05:00:00,1.07077,1.0,1.0,0.01,1.0,2023-11-09 06:00:00,-7076.999999999999,SL/TP hit
108,EURUSD,SELL,2023-11-10 03:00:00,1.06717,1.0,1.0,0.01,1.0,2023-11-10 04:00:00,6716.9999999999945,SL/TP hit
109,EURUSD,BUY,2023-11-13 12:00:00,1.06972,1.0,1.0,0.01,1.0,2023-11-13 13:00:00,-6972.0,SL/TP hit
110,EURUSD,SELL,2023-11-16 14:00:00,1.08422,1.0,1.0,0.01,1.0,2023-11-16 15:00:00,8421.999999999996,SL/TP hit
111,EURUSD,BUY,2023-11-17 06:00:00,1.08501,1.0,1.0,0.01,1.0,2023-11-17 07:00:00,-8501.000000000002,SL/TP hit
112,EURUSD,SELL,2023-11-22 04:00:00,1.09159,1.0,1.0,0.01,1.0,2023-11-22 05:00:00,9159.000000000005,SL/TP hit
113,EURUSD,BUY,2023-11-23 20:00:00,1.09034,1.0,1.0,0.01,1.0,2023-11-23 21:00:00,-9034.000000000007,SL/TP hit
114,EURUSD,SELL,2023-11-30 06:00:00,1.09688,1.0,1.0,0.01,1.0,2023-11-30 07:00:00,9688.000000000007,SL/TP hit
115,EURUSD,BUY,2023-12-08 03:00:00,1.07882,1.0,1.0,0.01,1.0,2023-12-08 04:00:00,-7881.999999999988,SL/TP hit
116,EURUSD,SELL,2023-12-08 21:00:00,1.07588,1.0,1.0,0.01,1.0,2023-12-08 22:00:00,7587.9999999999945,SL/TP hit
117,EURUSD,BUY,2023-12-12 13:00:00,1.07962,1.0,1.0,0.01,1.0,2023-12-12 14:00:00,-7962.000000000002,SL/TP hit
118,EURUSD,SELL,2023-12-18 02:00:00,1.09005,1.0,1.0,0.01,1.0,2023-12-18 03:00:00,9004.999999999996,SL/TP hit
119,EURUSD,BUY,2023-12-19 11:00:00,1.09414,1.0,1.0,0.01,1.0,2023-12-19 12:00:00,-9413.999999999989,SL/TP hit
120,EURUSD,SELL,2023-12-21 04:00:00,1.09495,1.0,1.0,0.01,1.0,2023-12-21 05:00:00,9495.00000000001,SL/TP hit
121,EURUSD,BUY,2023-12-21 22:00:00,1.10022,1.0,1.0,0.01,1.0,2023-12-21 23:00:00,-10021.999999999996,SL/TP hit
122,EURUSD,SELL,2023-12-29 07:00:00,1.1066,1.0,1.0,0.01,1.0,2023-12-29 08:00:00,10660.000000000002,SL/TP hit
123,EURUSD,BUY,2024-01-04 20:00:00,1.09469,1.0,1.0,0.01,1.0,2024-01-04 21:00:00,-9468.999999999993,SL/TP hit
124,EURUSD,SELL,2024-01-05 22:00:00,1.09393,1.0,1.0,0.01,1.0,2024-01-05 23:00:00,9393.000000000005,SL/TP hit
125,EURUSD,BUY,2024-01-08 11:00:00,1.0937000000000001,1.0,1.0,0.01,1.0,2024-01-08 12:00:00,-9370.000000000011,SL/TP hit
126,EURUSD,SELL,2024-01-09 19:00:00,1.09341,1.0,1.0,0.01,1.0,2024-01-09 20:00:00,9340.999999999998,SL/TP hit
127,EURUSD,BUY,2024-01-10 23:00:00,1.09718,1.0,1.0,0.01,1.0,2024-01-11 00:00:00,-9718.000000000004,SL/TP hit
128,EURUSD,SELL,2024-01-12 19:00:00,1.09496,1.0,1.0,0.01,1.0,2024-01-12 20:00:00,9495.999999999993,SL/TP hit
129,EURUSD,BUY,2024-01-18 10:00:00,1.08798,1.0,1.0,0.01,1.0,2024-01-18 11:00:00,-8797.999999999995,SL/TP hit
130,EURUSD,SELL,2024-01-19 06:00:00,1.08863,1.0,1.0,0.01,1.0,2024-01-19 07:00:00,8862.999999999998,SL/TP hit
131,EURUSD,BUY,2024-01-19 16:00:00,1.08807,1.0,1.0,0.01,1.0,2024-01-19 17:00:00,-8807.00000000001,SL/TP hit
132,EURUSD,SELL,2024-01-23 05:00:00,1.08927,1.0,1.0,0.01,1.0,2024-01-23 06:00:00,8926.999999999995,SL/TP hit
133,EURUSD,BUY,2024-01-23 10:00:00,1.0895,1.0,1.0,0.01,1.0,2024-01-23 11:00:00,-8949.99999999999,SL/TP hit
134,EURUSD,SELL,2024-01-23 12:00:00,1.08695,1.0,1.0,0.01,1.0,2024-01-23 13:00:00,8695.000000000007,SL/TP hit
135,EURUSD,BUY,2024-01-24 20:00:00,1.08927,1.0,1.0,0.01,1.0,2024-01-24 21:00:00,-8926.999999999995,SL/TP hit
136,EURUSD,SELL,2024-01-25 21:00:00,1.08359,1.0,1.0,0.01,1.0,2024-01-25 22:00:00,8359.000000000005,SL/TP hit
137,EURUSD,BUY,2024-01-29 09:00:00,1.08372,1.0,1.0,0.01,1.0,2024-01-29 10:00:00,-8372.000000000002,SL/TP hit
138,EURUSD,SELL,2024-01-29 10:00:00,1.08347,1.0,1.0,0.01,1.0,2024-01-29 11:00:00,8346.999999999993,SL/TP hit
139,EURUSD,BUY,2024-01-30 21:00:00,1.08461,1.0,1.0,0.01,1.0,2024-01-30 22:00:00,-8461.000000000007,SL/TP hit
140,EURUSD,SELL,2024-01-31 23:00:00,1.08174,1.0,1.0,0.01,1.0,2024-02-01 00:00:00,8173.999999999992,SL/TP hit
141,EURUSD,BUY,2024-02-02 02:00:00,1.08727,1.0,1.0,0.01,1.0,2024-02-02 03:00:00,-8726.999999999995,SL/TP hit
142,EURUSD,SELL,2024-02-05 03:00:00,1.07783,1.0,1.0,0.01,1.0,2024-02-05 04:00:00,7783.000000000006,SL/TP hit
143,EURUSD,BUY,2024-02-07 09:00:00,1.07725,1.0,1.0,0.01,1.0,2024-02-07 10:00:00,-7725.000000000004,SL/TP hit
144,EURUSD,SELL,2024-02-09 07:00:00,1.0771,1.0,1.0,0.01,1.0,2024-02-09 08:00:00,7709.999999999994,SL/TP hit
145,EURUSD,BUY,2024-02-09 13:00:00,1.07717,1.0,1.0,0.01,1.0,2024-02-09 14:00:00,-7716.999999999995,SL/TP hit
146,EURUSD,SELL,2024-02-13 01:00:00,1.0771600000000001,1.0,1.0,0.01,1.0,2024-02-13 02:00:00,7716.000000000011,SL/TP hit
147,EURUSD,BUY,2024-02-15 11:00:00,1.07331,1.0,1.0,0.01,1.0,2024-02-15 12:00:00,-7330.999999999998,SL/TP hit
148,EURUSD,SELL,2024-02-20 08:00:00,1.07708,1.0,1.0,0.01,1.0,2024-02-20 09:00:00,7708.000000000003,SL/TP hit
149,EURUSD,BUY,2024-02-20 13:00:00,1.07985,1.0,1.0,0.01,1.0,2024-02-20 14:00:00,-7984.999999999997,SL/TP hit
150,EURUSD,SELL,2024-02-23 12:00:00,1.08238,1.0,1.0,0.01,1.0,2024-02-23 13:00:00,8237.999999999989,SL/TP hit
151,EURUSD,BUY,2024-02-26 15:00:00,1.08579,1.0,1.0,0.01,1.0,2024-02-26 16:00:00,-8579.000000000002,SL/TP hit
